Branch,Month,Year,Total_Sales,Date
Conut,August,2025,554074782.88,2025-08-01
Conut,September,2025,784385377.11,2025-09-01
Conut,October,2025,1137352241.41,2025-10-01
Conut,November,2025,1351165728.11,2025-11-01
Conut,December,2025,67887513.35,2025-12-01
Conut - Tyre,August,2025,477535459.07,2025-08-01
Conut - Tyre,September,2025,444800810.51,2025-09-01
Conut - Tyre,October,2025,2100816729.45,2025-10-01
Conut - Tyre,November,2025,1129526810.42,2025-11-01
Conut - Tyre,December,2025,1024205946.3,2025-12-01
Conut Jnah,August,2025,363540268.13,2025-08-01
Conut Jnah,September,2025,714037266.45,2025-09-01
Conut Jnah,October,2025,785925564.58,2025-10-01
Conut Jnah,November,2025,947652050.58,2025-11-01
Conut Jnah,December,2025,2878191130.49,2025-12-01
Main Street Coffee,September,2025,145842540.35,2025-09-01
Main Street Coffee,October,2025,920588160.21,2025-10-01
Main Street Coffee,November,2025,1171534376.2,2025-11-01
Main Street Coffee,December,2025,3074216293.59,2025-12-01
