Branch,Division,Delivery,Table,TakeAway,Total,branch_total_sales,division_sales_share_in_branch,delivery_share,table_share,takeaway_share,division_rank_in_branch,is_top3_division_in_branch
Conut - Tyre,Bev Add-ons,0.0,1197189.17,0.0,1197189.17,4390965479.77,0.00027264827644755453,0.0,1.0,0.0,17.0,0
Conut - Tyre,CHIMNEY TOPPINGS,0.0,73241755.78,3933243.19,77174998.97,4390965479.77,0.017575861009511383,0.0,0.9490347490444547,0.0509652509555453,4.0,0
Conut - Tyre,CONUT''S FAVORITE,0.0,4978135.13,0.0,4978135.13,4390965479.77,0.0011337222196200812,0.0,1.0,0.0,13.0,0
Conut - Tyre,Conuts,0.0,0.0,0.0,0.0,4390965479.77,0.0,,,,22.0,0
Conut - Tyre,DRINK TYPE,0.0,0.0,0.0,0.0,4390965479.77,0.0,,,,22.0,0
Conut - Tyre,Delivery Service,1668648.63,49821080.42,0.0,51489729.04,4390965479.77,0.011726288734726522,0.032407407479338325,0.9675925927148752,0.0,5.0,0
Conut - Tyre,EXTRA CHIMNEY ,0.0,11799729.57,1072702.69,12872432.26,4390965479.77,0.0029315721836816306,0.0,0.9166666665371911,0.083333333462809,11.0,0
Conut - Tyre,EXTRA CONUT ,0.0,3000918.86,90054.05,3090972.91,4390965479.77,0.0007039392416635226,0.0,0.9708654677274411,0.029134532272558803,15.0,0
Conut - Tyre,EXTRA DIP,0.0,1668648.63,238378.38,1907027.0,4390965479.77,0.0004343069898376633,0.0,0.875000002621882,0.12500000262188213,16.0,0
Conut - Tyre,EXTRA MINI SPREAD,0.0,59594.59,0.0,59594.59,4390965479.77,1.3572092578400678e-05,0.0,1.0,0.0,21.0,0
Conut - Tyre,Extras and Sides,0.0,148748106.12,5721081.0,154469187.13,4390965479.77,0.03517886620645697,0.0,0.9629629629293952,0.03703703700586697,2.0,1
Conut - Tyre,FREE CHIMNEY TOP,0.0,7926080.98,655540.53,8581621.51,4390965479.77,0.0019543814565468882,0.0,0.9236111113457858,0.07638888865421425,12.0,0
Conut - Tyre,FREE CONUT TOP,0.0,12710864.56,304594.58,13015459.14,4390965479.77,0.0029641451748971055,0.0,0.9765974771443983,0.023402522855601696,10.0,0
Conut - Tyre,FREE MINI TOP,0.0,3743864.8,30459.46,3774324.25,4390965479.77,0.0008595659126424514,0.0,0.9919298269087505,0.008070175740730278,14.0,0
Conut - Tyre,Frappes,0.0,18594837.59,1609054.03,20203891.62,4390965479.77,0.004601241278958605,0.0,0.9203592030553567,0.07964079694464328,8.0,0
Conut - Tyre,Free Chimney Cake Spreads,0.0,953513.5,178783.78,1132297.28,4390965479.77,0.00025786977493143714,0.0,0.8421052640875372,0.15789473591246284,18.0,0
Conut - Tyre,Free Conut Spreads,0.0,182756.75,30459.46,213216.21,4390965479.77,4.855793355295708e-05,0.0,0.8571428504427502,0.1428571495572499,20.0,0
Conut - Tyre,Holder,0.0,0.0,0.0,0.0,4390965479.77,0.0,,,,22.0,0
Conut - Tyre,Hot and Cold Drinks,0.0,96098265.21,5323783.56,101422048.77,4390965479.77,0.02309789253349186,0.0,0.9475086174597693,0.052491382540230655,3.0,1
Conut - Tyre,Hot-Coffee Based,0.0,36148756.43,655540.53,36804296.96,4390965479.77,0.008381823343764437,0.0,0.9821884784074951,0.017811521592504834,7.0,0
Conut - Tyre,ITEMS,13440567.59,3647019679.34,177297892.07,3837758139.0,4390965479.77,0.8740123685055757,0.0035021924527797866,0.9502995100911439,0.04619829745607635,1.0,1
Conut - Tyre,MARSHMALLOW OPTIONS,0.0,238378.38,0.0,238378.38,4390965479.77,5.428837486840965e-05,0.0,1.0,0.0,19.0,0
Conut - Tyre,MILK OPTIONS,0.0,0.0,0.0,0.0,4390965479.77,0.0,,,,22.0,0
Conut - Tyre,MINI/CONUT/BOWL ,0.0,13023405.17,360216.21,13383621.38,4390965479.77,0.0030479905710169776,0.0,0.9730852958424022,0.026914704157597738,9.0,0
Conut - Tyre,Shakes,0.0,45768648.79,1430270.28,47198919.07,4390965479.77,0.01074909818522925,0.0,0.9696969695878249,0.030303030412175073,6.0,0
Conut - Tyre,coffee type,0.0,0.0,0.0,0.0,4390965479.77,0.0,,,,22.0,0
