Branch,Month,Year,Total_Sales,Date,Month_dt,year,month_num,monthly_growth_rate,branch_share_that_month
Conut,August,2025,554074782.88,2025-08-01,1-08-01,1,8,,0.3971433754829997
Conut,September,2025,784385377.11,2025-09-01,1-09-01,1,9,0.4156669845772065,0.3754718037654783
Conut,October,2025,1137352241.41,2025-10-01,1-10-01,1,10,0.44999164262913194,0.23001521258594937
Conut,November,2025,1351165728.11,2025-11-01,1-11-01,1,11,0.18799232015837997,0.2937394088626723
Conut,December,2025,67887513.35,2025-12-01,1-12-01,1,12,-0.9497563385914469,0.009636951498834105
Conut - Tyre,August,2025,477535459.07,2025-08-01,1-08-01,1,8,,0.3422823957843928
Conut - Tyre,September,2025,444800810.51,2025-09-01,1-09-01,1,9,-0.06854914737379025,0.2129185060204346
Conut - Tyre,October,2025,2100816729.45,2025-10-01,1-10-01,1,10,3.723050587613013,0.42486381002731627
Conut - Tyre,November,2025,1129526810.42,2025-11-01,1-11-01,1,11,-0.4623391966629504,0.24555576764917725
Conut - Tyre,December,2025,1024205946.3,2025-12-01,1-12-01,1,12,-0.09324335035556874,0.1453908464495347
Conut Jnah,August,2025,363540268.13,2025-08-01,1-08-01,1,8,,0.26057422873260755
Conut Jnah,September,2025,714037266.45,2025-09-01,1-09-01,1,9,0.9641215266823324,0.34179737181938213
Conut Jnah,October,2025,785925564.58,2025-10-01,1-10-01,1,10,0.10067863612694783,0.15894357898261188
Conut Jnah,November,2025,947652050.58,2025-11-01,1-11-01,1,11,0.20577837557228063,0.2060167360329958
Conut Jnah,December,2025,2878191130.49,2025-12-01,1-12-01,1,12,2.0371813459681056,0.40857275454922276
Main Street Coffee,September,2025,145842540.35,2025-09-01,1-09-01,1,9,,0.06981231839470496
Main Street Coffee,October,2025,920588160.21,2025-10-01,1-10-01,1,10,5.312206013421927,0.1861773984041224
Main Street Coffee,November,2025,1171534376.2,2025-11-01,1-11-01,1,11,0.27259335589625167,0.2546880874551548
Main Street Coffee,December,2025,3074216293.59,2025-12-01,1-12-01,1,12,1.624093971157344,0.4363994475024085
